ai: 0, aj: 0, ar: 0
ai: 1, aj: 1, ar: 1
ai: 2, aj: 2, ar: 1
ai: 2, aj: 3, ar: -1
ai: 3, aj: 3, ar: 1
ai: 3, aj: 4, ar: -1
ai: 4, aj: 4, ar: 1
ai: 4, aj: 5, ar: -1
ai: 5, aj: 5, ar: 1
ai: 5, aj: 6, ar: -1
ai: 6, aj: 6, ar: 1
ai: 6, aj: 7, ar: -1
ai: 7, aj: 7, ar: 1
ai: 7, aj: 8, ar: -1
ai: 8, aj: 8, ar: 1
ai: 8, aj: 9, ar: -1
ai: 9, aj: 9, ar: 1
ai: 9, aj: 10, ar: -1
ai: 10, aj: 11, ar: 1
ai: 11, aj: 12, ar: 1
ai: 11, aj: 13, ar: -1
ai: 12, aj: 13, ar: 1
ai: 12, aj: 14, ar: -1
ai: 13, aj: 14, ar: 1
ai: 13, aj: 15, ar: -1
ai: 14, aj: 15, ar: 1
ai: 14, aj: 16, ar: -1
ai: 15, aj: 16, ar: 1
ai: 15, aj: 17, ar: -1
ai: 16, aj: 17, ar: 1
ai: 16, aj: 18, ar: -1
ai: 17, aj: 18, ar: 1
ai: 17, aj: 19, ar: -1
ai: 18, aj: 19, ar: 1
ai: 18, aj: 20, ar: -1
ai: 19, aj: 21, ar: 1
ai: 20, aj: 22, ar: 1
ai: 20, aj: 23, ar: -1
ai: 21, aj: 23, ar: 1
ai: 21, aj: 24, ar: -1
ai: 22, aj: 24, ar: 1
ai: 22, aj: 25, ar: -1
ai: 23, aj: 25, ar: 1
ai: 23, aj: 26, ar: -1
ai: 24, aj: 26, ar: 1
ai: 24, aj: 27, ar: -1
ai: 25, aj: 27, ar: 1
ai: 25, aj: 28, ar: -1
ai: 26, aj: 28, ar: 1
ai: 26, aj: 29, ar: -1
ai: 27, aj: 29, ar: 1
ai: 27, aj: 30, ar: -1
ai: 28, aj: 31, ar: 1
ai: 29, aj: 32, ar: 1
ai: 29, aj: 33, ar: -1
ai: 30, aj: 33, ar: 1
ai: 30, aj: 34, ar: -1
ai: 31, aj: 34, ar: 1
ai: 31, aj: 35, ar: -1
ai: 32, aj: 35, ar: 1
ai: 32, aj: 36, ar: -1
ai: 33, aj: 36, ar: 1
ai: 33, aj: 37, ar: -1
ai: 34, aj: 37, ar: 1
ai: 34, aj: 38, ar: -1
ai: 35, aj: 38, ar: 1
ai: 35, aj: 39, ar: -1
ai: 36, aj: 39, ar: 1
ai: 36, aj: 40, ar: -1
ai: 37, aj: 41, ar: 1
ai: 38, aj: 42, ar: 1
ai: 38, aj: 43, ar: -1
ai: 39, aj: 43, ar: 1
ai: 39, aj: 44, ar: -1
ai: 40, aj: 44, ar: 1
ai: 40, aj: 45, ar: -1
ai: 41, aj: 45, ar: 1
ai: 41, aj: 46, ar: -1
ai: 42, aj: 46, ar: 1
ai: 42, aj: 47, ar: -1
ai: 43, aj: 47, ar: 1
ai: 43, aj: 48, ar: -1
ai: 44, aj: 48, ar: 1
ai: 44, aj: 49, ar: -1
ai: 45, aj: 49, ar: 1
ai: 45, aj: 50, ar: -1
ai: 46, aj: 51, ar: 1
ai: 47, aj: 52, ar: 1
ai: 47, aj: 53, ar: -1
ai: 48, aj: 53, ar: 1
ai: 48, aj: 54, ar: -1
ai: 49, aj: 54, ar: 1
